time,high,low,open,volumefrom,volumeto,close,top_tier_volume_quote,top_tier_volume_base,top_tier_volume_total,cccagg_volume_quote,cccagg_volume_base,cccagg_volume_total,total_volume_quote,total_volume_base,total_volume_total,zero_balance_addresses_all_time,unique_addresses_all_time,new_addresses,active_addresses,transaction_count,transaction_count_all_time,large_transaction_count,average_transaction_value,block_height,hashrate,difficulty,block_time,block_size,current_supply,comments,posts,followers,points
2018-10-28,6483.24,6444.74,6470.17,16806.73,109118160.99,6470.74,88962895.55,139992774.26,228955669.81,322032165.43,326202373.99,648234541.47,676076145.82,705268497.57,1381344643.39,426754674,449504266,289516,583240,219860,352147142,4386,2.38321722792477,547750,49940210.2516765,7182852313938.32,617.741007194245,828287,17346858.5449777,78987,30507,58633,3018445
2018-10-29,6483.39,6282.58,6470.74,53760.53,342463526.52,6313.91,106354264.89,268428536.31,374782801.2,421550186.52,605695474.85,1027245661.37,894666131.08,1280534628.58,2175200759.66,427128586,449861470,357204,732345,269754,352416896,8068,3.00287893415167,547896,52468029.4656466,7182852313938.32,587.979310344828,983820,17348683.5449777,79013,30521,58761,3022255
2018-10-30,6340.68,6286.3,6314.38,42701.22,269592154.08,6309.11,109162979.32,210726798.92,319889776.27,419620577.95,629036738.05,1048657316.0,2006695545.14,1317883578.55,3324579123.69,427495238,450229179,367709,722192,283327,352700223,8088,3.00279841522799,548050,55007956.3951139,7182852313938.32,560.830065359477,943664,17350608.5449777,79019,30535,58860,3025140
2018-10-31,6391.25,6241.49,6309.11,38823.41,245357244.49,6342.61,108742587.95,247303185.92,356045773.87,355808868.68,667477562.53,1023286431.21,1.3391759382366863e+21,1394348447.81,1.3391759382380804e+21,427859536,450602966,373787,732516,288283,352988506,8372,3.23353217166333,548213,58650410.228827,7182852313938.32,526.0,918292,17352646.0449776,79037,30544,58923,3027120
2018-11-01,6402.59,6322.6,6342.81,31397.71,199861220.45,6381.3,99248703.23,215692777.87,314941481.1,328385959.6,621284290.59,949670250.19,698386056.98,1317057354.14,2015443411.12,428217510,450967686,364720,716325,281941,353270447,8437,3.28761512913422,548367,56069058.8276014,7183013626017.64,550.228758169935,979455,17354571.0449777,79046,30556,58960,3028435
2018-11-02,6420.93,6371.57,6381.3,27987.6,179385606.7,6394.66,110092386.34,233288824.76,343381211.1,305048335.87,576013244.79,881061580.66,637343402.47,1298472187.2,1935815589.67,428585982,451339670,371984,789905,292704,353563151,7942,4.33115596808376,548510,51544735.9200741,7184404942701.79,598.640845070423,1117054,17356358.5449776,79050,30562,58996,3029525
2018-11-03,6398.09,6336.96,6394.65,28808.38,183565304.27,6376.32,94773871.36,195221994.17,289995863.53,321023174.12,494131458.68,815154632.79,658606735.9,1122567461.49,1781174197.39,428921665,451667076,327406,664462,249564,353812715,5354,2.39484465544498,548671,57709266.790803,7184404942701.79,534.69375,885550,17358371.0449769,79051,30566,59019,3030210
2018-11-04,6498.16,6351.92,6376.55,27317.02,175805188.92,6467.05,121106068.27,369408443.51,490514509.66,410817707.36,743539843.29,1154357550.65,836510668.48,1646906294.53,2483416965.12,429269978,451958448,291372,638497,226247,354038962,5160,2.65209187941537,548794,45926796.8104046,7184404942701.79,671.868852459016,1035187,17359908.5449769,79058,30585,59058,3031730
2018-11-05,6475.8,6406.69,6467.05,24142.0,155758902.3,6433.74,112542169.82,260455738.42,372997908.24,361098221.73,644056696.45,1005154918.19,726456563.53,1442283588.06,2168740151.59,429633430,452347918,389470,736330,296283,354335245,8498,2.97065806710638,548938,51457960.9402667,7184404942701.79,599.65034965035,1044358,17361708.5449769,79068,30598,59091,3032980
2018-11-06,6482.81,6412.56,6433.53,37162.36,239808254.25,6479.72,131221278.02,390789139.9,522010417.92,428311462.61,840900903.81,1269212366.42,853340741.2,1860651930.95,2713992672.15,429991473,452728349,380431,715671,285451,354620696,8117,3.11115921183776,549066,45819048.7595392,7184404942701.79,673.448818897638,1072038,17363308.544977,79098,30616,59122,3034505
