time,high,low,open,volumefrom,volumeto,close,top_tier_volume_quote,top_tier_volume_base,top_tier_volume_total,cccagg_volume_quote,cccagg_volume_base,cccagg_volume_total,total_volume_quote,total_volume_base,total_volume_total,zero_balance_addresses_all_time,unique_addresses_all_time,new_addresses,active_addresses,transaction_count,transaction_count_all_time,large_transaction_count,average_transaction_value,block_height,hashrate,difficulty,block_time,block_size,current_supply,comments,posts,followers,points,actadd7,actadd14,actadd21,actadd28,volumefrom7,volumefrom14,volumeto7,volumeto14,large_transaction_count7,difficulty7,difficulty14,difficulty28,average_transaction_value28,closesma3,closesma5,closesma7,closesma14,closesma21,closesma28,closesma60,close_shift,block_time7,block_time14,block_time28,block_time60,block_time100,block_size7,block_size14,block_size28,block_size60,block_size100,comments3,comments5,comments7
2018-10-22,6531.230000,6460.380000,6509.870000,31239.030000,202766914.400000,6483.230000,798549228.780000,847055329.330000,1645604558.100000,1347464474.190000,1502087499.890000,2849551974.090000,2816948264.240000,4231281096.820000,7048229361.060000,424857358.000000,447563271.000000,344801.000000,692314.000000,255324.000000,350678378.000000,9518.000000,3.435724,546927.000000,55355228.371075,7182852313938.320312,557.311688,916539.000000,17336571.044978,197905,81409,59654,5505625,661519.000000,653784.714286,654996.476190,656268.363636,33836.730000,50153.225000,221357719.788571,326825859.082857,7883.142857,7295529885087.356445,7375249266675.298828,7358887838253.752930,3.531979,6494.553333,6488.332000,6514.175714,6459.269286,6500.062857,6504.377273,6504.377273,6509.870000,609.203743,614.738091,618.973267,618.973267,618.973267,965399.857143,959537.785714,941333.809524,941333.809524,941333.809524,197741.666667,197599.200000,197387.142857
2018-10-23,6496.200000,6438.990000,6484.320000,34071.620000,220913293.600000,6470.220000,800685842.870000,1034835016.890000,1835520859.760000,1335583135.910000,1623146305.320000,2958729441.230000,2776134268.440000,4581839383.910000,7357973652.340000,425196031.000000,447903004.000000,339733.000000,697985.000000,253463.000000,350931841.000000,8654.000000,4.016122,547081.000000,55875982.129360,7182852313938.320312,552.117647,932260.000000,17338496.044978,198098,81478,59700,5510430,661990.428571,658497.285714,655531.952381,658082.130435,31676.770000,50286.608571,206597831.762857,327321331.609286,7879.428571,7256656123040.938477,7355812385652.088867,7351234119805.255859,3.553029,6487.773333,6484.632000,6498.057143,6447.728571,6497.431905,6502.892174,6502.892174,6483.230000,597.043578,607.512275,615.934375,615.934375,615.934375,946255.142857,957098.285714,940921.363636,940921.363636,940921.363636,197912.000000,197758.800000,197580.857143
2018-10-24,6538.350000,6465.730000,6470.630000,34111.660000,222068131.830000,6476.250000,738060132.150000,978278168.590000,1716338300.740000,1266043148.700000,1502930255.480000,2768973404.180000,2633340328.990000,4353373200.830000,6986713529.810000,425513138.000000,448240666.000000,337662.000000,652136.000000,254091.000000,351185932.000000,8634.000000,3.949445,547194.000000,41335243.060182,7182852313938.320312,746.339286,1141656.000000,17339908.544978,198295,81557,59736,5515275,656851.428571,658426.214286,653093.380952,657834.375000,31758.642857,49204.270714,206833473.932857,320064415.084286,7830.000000,7217782360994.521484,7336375504628.881836,7344218211227.465820,3.569546,6476.566667,6486.026000,6484.018571,6440.241429,6496.669524,6501.782083,6501.782083,6470.220000,613.703100,618.085960,621.604154,621.604154,621.604154,959462.142857,974580.500000,949648.956522,949648.956522,949648.956522,198099.333333,197923.600000,197769.857143
2018-10-25,6497.900000,6432.300000,6476.520000,35706.920000,231214963.950000,6462.770000,651332243.320000,1020175517.390000,1671507825.340000,1149953238.460000,1672006686.560000,2821959989.640000,2417835872.500000,5342321310.050000,7760157247.170000,425836580.000000,448574540.000000,333874.000000,674946.000000,254599.000000,351440531.000000,9074.000000,3.969882,547331.000000,49173326.607472,7182852313938.320312,627.375000,1035430.000000,17341621.044978,198563,81614,59766,5520130,657494.142857,656682.142857,654140.571429,658518.840000,29613.158571,44307.730000,192469738.004286,289799475.523571,7925.857143,7182852313938.320312,7316938623605.671875,7337763575335.901367,3.585559,6469.746667,6480.468000,6480.311429,6458.334286,6491.097143,6500.221600,6500.221600,6476.250000,614.204013,624.041769,621.844606,621.844606,621.844606,965065.285714,982766.571429,953223.166667,953223.166667,953223.166667,198318.666667,198118.800000,197950.285714
2018-10-26,6514.000000,6441.810000,6462.770000,33284.540000,215447656.360000,6457.210000,603481031.640000,882589607.560000,1486070639.200000,1308734020.950000,1512527378.300000,2821261399.250000,2712779496.380000,4450409799.900000,7163189296.290000,426177450.000000,448908333.000000,333793.000000,705500.000000,253002.000000,351693533.000000,7508.000000,3.266369,547474.000000,51601583.612834,7182852313938.320312,597.852113,1058047.000000,17343408.544978,198724,81646,59813,5523715,658106.571429,656789.071429,654538.571429,660325.807692,29139.572857,43385.489286,189268676.711429,284485726.874286,7796.285714,7182852313938.320312,7297501742582.463867,7331805449897.532227,3.573283,6465.410000,6469.936000,6478.587143,6473.074286,6482.732381,6498.567308,6498.567308,6462.770000,615.506088,619.827280,620.884906,620.884906,620.884906,970765.285714,977734.000000,957416.120000,957416.120000,957416.120000,198527.333333,198317.000000,198129.285714
2018-10-27,6479.000000,6445.950000,6457.210000,19092.860000,124066466.340000,6470.170000,673238852.060000,786195338.730000,1459434190.800000,1191442531.570000,1285210046.860000,2476652513.720000,2472944329.890000,3608152608.240000,6081096938.130000,426481208.000000,449214750.000000,306417.000000,599637.000000,233749.000000,351927282.000000,4994.000000,2.470200,547610.000000,48785456.434408,7182852313938.320312,632.362963,913874.000000,17345108.544978,198906,81698,59851,5527785,656429.142857,657940.142857,654641.333333,658078.074074,29075.160000,43183.918571,188823050.791429,283511543.356429,7671.000000,7182852313938.320312,7278064861559.255859,7326288667084.227539,3.532428,6463.383333,6467.324000,6475.674286,6487.567143,6477.029048,6497.515556,6497.515556,6457.210000,619.212869,622.528206,621.326370,621.326370,621.326370,974478.000000,981437.714286,955741.423077,955741.423077,955741.423077,198731.000000,198517.200000,198317.714286
2018-10-28,6483.240000,6444.740000,6470.170000,16806.730000,109118160.990000,6470.740000,736328346.310000,617061478.440000,1353389824.750000,1244542207.130000,1098394720.570000,2342936863.000000,3882330114.980000,2967814930.650000,6850145045.620000,426754674.000000,449504266.000000,289516.000000,583240.000000,219860.000000,352147142.000000,4386.000000,2.383217,547750.000000,49940210.251676,7182852313938.320312,617.741007,828287.000000,17346858.544978,199058,81749,60193,5539130,657965.428571,661486.285714,653479.904762,655405.285714,29187.622857,41946.535000,189370798.210000,275918348.557143,7538.285714,7182852313938.320312,7258627980536.046875,7321165940186.159180,3.491385,6466.040000,6467.428000,6470.084286,6501.353571,6470.819048,6496.559286,6496.559286,6470.170000,618.728529,612.122222,621.193579,621.193579,621.193579,975156.142857,972222.357143,951020.888889,951020.888889,951020.888889,198896.000000,198709.200000,198507.000000
2018-10-29,6483.390000,6282.580000,6470.740000,53760.530000,342463526.520000,6313.910000,773835082.610000,1208052775.560000,1981887795.030000,1439539910.450000,1869464460.300000,3309004370.750000,2978154539.670000,6047030368.890000,9025184845.410000,427128586.000000,449861470.000000,357204.000000,732345.000000,269754.000000,352416896.000000,8068.000000,3.002879,547896.000000,52468029.465647,7182852313938.320312,587.979310,983820.000000,17348683.544978,199310,81836,60372,5548300,663684.142857,662601.571429,657084.523810,657168.392857,32404.980000,33120.855000,209327457.084286,215342588.436429,7331.142857,7182852313938.320312,7239191099512.837891,7322245188830.157227,3.477497,6418.273333,6434.960000,6445.895714,6480.035714,6454.811429,6486.521071,6490.261034,6470.740000,623.109618,616.156681,620.007355,620.007355,620.007355,984767.714286,975083.785714,952192.285714,952192.285714,952192.285714,199091.333333,198912.200000,198707.714286
2018-10-30,6340.680000,6286.300000,6314.380000,42701.220000,269592154.080000,6309.110000,640742296.840000,960032410.810000,1600774770.740000,1300592490.410000,1801182388.070000,3101774878.470000,2714718677.090000,5048475500.680000,7763194177.770000,427495238.000000,450229179.000000,367709.000000,722192.000000,283327.000000,352700223.000000,8088.000000,3.002798,548050.000000,55007956.395114,7182852313938.320312,560.830065,943664.000000,17350608.544978,199498,81917,60526,5556055,667142.285714,664566.357143,661378.952381,658434.535714,33637.780000,32657.275000,216281580.010000,211439705.886429,7250.285714,7182852313938.320312,7219754218489.630859,7323324437474.154297,3.401900,6364.586667,6404.228000,6422.880000,6460.468571,6439.445714,6478.793929,6484.222667,6313.910000,624.354249,610.698913,617.668565,617.966759,617.966759,986396.857143,966326.000000,949632.607143,951898.206897,951898.206897,199288.666667,199099.200000,198907.714286
2018-10-31,6391.250000,6241.490000,6309.110000,38823.410000,245357244.490000,6342.610000,712508701.330000,1130109441.880000,1842618143.210000,1471430846.700000,1819435903.660000,3290866813.790000,3063708139.420000,5133139475.030000,8196847551.030000,427859536.000000,450602966.000000,373787.000000,732516.000000,288283.000000,352988506.000000,8372.000000,3.233532,548213.000000,58650410.228827,7182852313938.320312,526.000000,918292.000000,17352646.044978,199811,82010,60609,5563585,678625.142857,667738.285714,665159.190476,659476.321429,34310.887143,33034.765000,219608596.104286,213221035.018571,7212.857143,7182852313938.320312,7200317337466.420898,7324403686118.150391,3.400769,6321.876667,6381.308000,6403.788571,6443.903571,6428.090476,6473.449286,6479.654516,6309.110000,592.877208,603.290154,615.174022,614.901200,614.901200,954487.714286,956974.928571,952492.142857,950778.000000,950778.000000,199539.666667,199316.600000,199124.285714
